year,sex,name,n,prop
1921,F,Patricia,3382,0.00264284614681315
1921,F,Amanda,392,0.000306326342268112
1921,F,Linda,367,0.000286790223501013
1921,F,Deborah,94,7.34558065642922e-05
1921,F,Jessica,48,3.75093480328301e-05
1922,F,Dorothy,37711,0.0302285073477132
1922,F,Helen,32507,0.0260570679205567
1922,F,Betty,20893,0.0167474796217489
1922,F,Patricia,3902,0.00312777798708008
1922,F,Linda,365,0.000292577899867819
1922,F,Amanda,341,0.000273339900972401
1922,F,Deborah,71,5.69124133989456e-05
1922,F,Jessica,40,3.20633314923637e-05
1923,F,Dorothy,39045,0.0311757435229189
1923,F,Helen,31492,0.0251449997444938
1923,F,Betty,25990,0.020751890745567
1923,F,Patricia,4800,0.00383259236547601
1923,F,Linda,423,0.000337747202207573
1923,F,Amanda,362,0.000289041340896316
1923,F,Deborah,118,9.42178956512852e-05
1923,F,Jessica,52,4.15197506259901e-05
1924,F,Dorothy,39996,0.0308678753677503
1924,F,Helen,31193,0.0240739483034863
1924,F,Betty,30602,0.0236178298330807
1924,F,Patricia,6958,0.00537000392061223
1924,F,Linda,454,0.000350385423966363
1924,F,Amanda,341,0.000263174955005572
1924,F,Deborah,125,9.64717576999898e-05
1924,F,Jessica,41,3.16427365255967e-05
1925,F,Dorothy,38572,0.030538871901736
1925,F,Betty,32817,0.0259824266099572
1925,F,Helen,29168,0.023093379021825
1925,F,Patricia,8095,0.00640910940694163
1925,F,Linda,438,0.000346780718992024
1925,F,Amanda,310,0.000245438408419012
1925,F,Deborah,82,6.49224177108356e-05
1925,F,Jessica,34,2.69190512459562e-05
1926,F,Dorothy,36614,0.0297646484033633
1926,F,Betty,32959,0.026793386320163
1926,F,Helen,26884,0.0218548316948713
1926,F,Patricia,8590,0.0069830755936224
1926,F,Linda,479,0.000389393854405719
1926,F,Amanda,310,0.000252008548780319
1926,F,Deborah,116,9.42999730919904e-05
1926,F,Jessica,35,2.84525780881006e-05
1927,F,Dorothy,35987,0.0291075004772119
1927,F,Betty,35422,0.0286505094035013
1927,F,Helen,25316,0.0204764354372717
1927,F,Patricia,10553,0.00853562265640418
1927,F,Linda,516,0.000417358219530423
1927,F,Amanda,234,0.000189267099554494
1927,F,Deborah,91,7.360387204897e-05
1927,F,Jessica,39,3.15445165924157e-05
1928,F,Betty,36078,0.0301810713703117
1928,F,Dorothy,33728,0.0282151775369442
1928,F,Helen,22936,0.0191871238136667
1928,F,Patricia,12332,0.0103163415970587
1928,F,Linda,554,0.000463449014334294
