GPU_Usage,AVG_Memory,Machine_Load,Network_Load,inst_id
10,20,20,40,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe
10,10,10,40,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2
10,20,20,40,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f
10,10,10,30,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767
10,20,20,40,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb
10,10,10,10,38e50351d358b5d3eccdf0210105bbe13430938a5920c0ca7cadd40ec175
10,10,10,10,a4c35915f3c288e67a80fab98bc31f2fa10b95d94637203109cc014fa970
10,10,10,40,ca99da9f226c45f46a67a9a67061a4b8cc2d7c301415e39efdb64a93bc7f
10,10,10,30,d3c80b994df1f63984ad52233a5214e71a758b1a4fde09f439e5e1b3e10e
10,10,10,40,5a31d4db3e49aef5004403a695237d1a98f935a63083f47fbe5855bb7cb5
10,10,10,10,295024394394262d2de0f742bf36d3f9a17c79a1fad15c94e97cfa4b174e
10,10,10,30,b7a79851ebf437ab47f2258f36eca7e18883aafe8320e30c01fdd8dc4f39
10,20,20,20,cda28ac35c9562ecfb471765a299f6cb47c618941b22588e9fe8245a887f
10,10,10,10,60b63556c47b8eec5195cd713b0e644e659090b1304d67f5fae3622fd308
10,10,10,10,b4a13044634d07ef4b30ea9ce8ccd95392f481e1831d03c27df96ca43dc1
10,10,10,30,3d237bd085e0e7e93455039331ee6bd05832cfa4e8c8d24125c743be9d60
10,10,10,10,889760fae507ef71e67003044747c2877b9796fab1bd78ca471cc2162e5d
10,10,20,40,0259b928290d64a0456161d0fb75361762c0d94bc64a6a5cfbdb389f5788
10,10,10,40,7cf819b5f919ff1c4101f964b65f71318b96242c881423d0f5d448968a9a
10,10,10,40,32ef7f701783ab7793ded2e6274d236c9217b6812cb178b9c913f9196fd0
10,10,10,30,47faf35a377bcf1ce8e36d3534c674e9bece0664000a674b8d1a1fa2c52b
10,10,10,40,18f0f807ac77a4b8f4b5c83a51e57df41dd34503ffdcf6156900aebc20cc
10,10,10,30,8bd524847a45575506a9520fccf865677f45a391b63e428299d095f4d23e
10,10,20,20,b2f737f8bbd2a05fd83210afe7090c3d1807aa2a3c2ea4b5d39bf526e5ff
10,20,20,40,4322c795e76e0d3c3baddd7abb803b72288af07797efa51067bb2e7787f1
10,20,10,30,c5e1de14fb1316df7e6cfcbaf114db82fe46651acf9fc54afee88471da4c
10,20,10,30,bccd33cd65178ababe5e853c368aa43a042870063cd987b7fdee40a9e89f
10,10,10,40,0f6163a63484ab2eb6e8383dfcc70a7a8aac9973ef7ff8a20e65d34461be
10,10,20,30,d47457b30af81ffda67615bef9be27ed2a7b9f2ffa4aeb68da56c0ed6f62
10,10,10,40,2748f22c5f4b900fbfb846848d94f9c856654460e8292cb481d270e29728
10,20,20,30,604e5db0a5aea4c4d08beb346e14a5e13e084d68f59c346a0f68c46ae0c0
10,20,10,20,3b78d042aebeffb2396c294ee88c0f38f3229a56c09c042301ca993e6004
10,20,10,30,83c6d3a99bc4a87c5f5213a82de32d1c7feeb339155dcc5d465ba3561a2a
10,30,20,10,d2b1627adc0e9063e629eecaf28fba88a4c719e0d649b35091ea954908a5
10,10,10,30,ceb7919779c9329b93f0017808a14991c70ca99698c836aaf356ec6ea7b4
10,10,10,30,c7caf170d8f5ff9b27066675a2a2442a4db3ac04f9d1e7c97d7e3b17481a
10,40,40,30,c0e955b02bd5117a7a15e9db86b36ef18ee381d1e785d46e9b083e414664
10,10,10,40,4a3f3324bef18034b6a0cc8a02ad7b2d3fa3ab24e6e17db101841673e487
10,10,10,30,c2ae47188a09c7797f03f239e60152e936dc010b9f567a46a475acb530ed
10,10,10,40,be6341ca7ba7eaedf140027dec3a2e66c550fc97d2e4c460a230c2acca87
10,20,20,20,8a48148b909fb6997914cf6da9ea3d9ee7ed836560e3a760f5985754f02d
10,10,10,10,485d52ddb51ff382bd582cdbd77e148886e62be33c965e65c7d573097104
10,20,20,40,aafae0910237559a330e5dcfb38f265c24535316180c089bd2d6ae5f9171
10,10,10,30,c8ebb87f0fed7136b434b3c917c0c387c84009fa6d983742acebeb491605
10,20,20,40,bfcf3b8b46c032407865989334a804db2a6104eb99d38d21da95efd63569
10,10,10,30,53018f1e80e29e0d9544a27e8688b83ea4d2f1cc8ed1fa3c2a53f1bc54ff
10,20,10,40,78e387b2cc62d6707927f9bd7fe3aadce0a4d24498e5d7515b4d821de2f2
10,20,20,10,c60bb30b0df68f0ab67be46782fc9b32e026f96235f9016d8fd58778f667
10,20,10,30,1b130affdbc777d131d05c44258a1cb9c5553ae1b90c338e6ee45c7739ca
10,40,40,20,aaa5dd7f726980325a31931f9d89402c511708be126dbad20c4fbb5398ff
10,10,10,30,9ec1b0a9a7b65af61c25ba681bac232c03746b94df84c5f50bbff76fc438
10,20,20,10,33222b9b1365a9dab183992a62c356edad58b8dbccdebd9846ca5123879b
10,20,20,10,1c2b573075f98755630368e33392f1da921a1f612a81ff6dea5c3359bcc9
10,20,20,40,f865f0c2d034b70dc80f2cc470a11e4b4ee26b9164c72063d0268c6d3b8b
10,40,30,30,e6ffaa9c0aa3a9d8fa15c2542c5bba4b331a9e7da87710a5290c791fafa0
10,30,30,10,4c4e4b0b46354a31c1fb562ad612b4e4db8a2376fa7860bb2263d9a4102e
10,40,30,20,3b6cf06c1d00fe704f946b6f1546e1dc7794c289ce1e424acf8ed701aa62
10,20,20,40,8ccc186bd833b7e6cf3429adde7dd7c79057987f73f02f376eabb4c08977
10,40,30,30,7874150e5417056e09958f5f2de5b3579d9597f247a0a21937cad8213a46
10,10,10,40,e5d972f327da1033925d2f86154458e92fc395658f123390040b4f3b08ad
10,10,20,30,afa04bc806394f21a13e343d948ae97ec0d942fe2fb7a21223d5559e3a02
10,20,40,40,bb6c9acb88ad5e0c70fafa656354f0818c50a8d443e70112ccbb0586086c
10,40,40,10,c33d9cab539e178e4de67ad6cf4cf3b047c51e4f4b6b37b512b741697c79
10,10,10,40,1910f5b7e0f34a4e451d9f4ceb6e24d69019073891c996264aa362823444
10,10,10,40,6f4dc3027818091a66fb8179bdc890ca9b1c1d5283e4ffa0bcff374ef47b
10,20,20,10,a301900162d9adcc235c173654492ac3dd11562078cc945265837843f86c
10,30,30,10,04d883c9e7e537af6ec3e27de4febe348661f4fe7437f9f7e7e7f3ccd1af
10,10,10,40,cacc483ae7095354ccc707ff74242e7dc96018481ae57e58534bcd6cc324
10,30,30,10,139d6e5a1a69f0cb9ef60684c12ec451014e1e2d5d6f09a74d5e28b88e49
10,10,10,30,3ae6c40356aa22e741241e4733fc7ffd9397e2083c5990f4b08200144b22
10,20,20,10,51ab893599273134a7095d01c1095a35b728d676cbb853ce9ff6ceb8f361
10,10,10,40,3658eef38082d64e12c07e451113e36451989741e78341b7f6117e183113
10,20,20,30,8d6e8c8f046b77fabb6e697a811a9cafcfa2c5ccac3f05007f8b4ae43c63
10,20,20,10,2876cca7c4ef05365f532dd4027443b3d86f94d4bcc34912a09746ab4239
10,10,10,40,8d2e4fde9a293cd407c152c9b759ed493abb5cee40952a3d03a92183aaaa
10,20,20,30,6edd91ed139965a49010b64f2f0038886505dccd4c1535a557fa0c3756dc
10,20,20,30,dabddad95b49e9044622f33405743bb5b17b20a96621386ad231e5b03e62
10,20,20,10,e5d8a2772fe37c2025f057b888f8100b749214c6a27780f73bbb16e56cb2
10,10,10,40,8f6f5e5590950d5a70f6b39c2c22bb38d25fbbea2a8c8697503681e5d73e
10,20,30,20,95b309f121a5a3a4ac2586725620407a3eb97f1d63e6d6950a6e74af4ce9
10,20,20,30,38b32a0e0e5f59563db3a9ee3bc683a1b9fa7ce75fc6938627d51442067e
10,30,40,40,82c1a88571c788219eef8dd1570649e7607771c8627424da5d236c3c21eb
10,20,20,30,2f0cf88c115e4ffd17ebe407b3a8c751b8dd6f5310ff444ae38f3f2fa4e8
10,10,20,30,e865d20aa96b7839a41dfb5ce7f60d29ec52cd54fa7ed8c0e23f17dda719
10,20,10,40,4b57667f600ccbcb02f906862dcb14bacf22b6e17ea9c3342e726dc516d9
10,10,20,30,9c8e4090f99b9d04b756bfd63a2daf53ff14f02ed81b6ffd9e8795d51b2f
10,20,30,30,b56753491b8759c4f8079fe069231e43427f291845926c6e44ccc6248b4f
10,30,30,10,173f88337c474f11f0ad41c029bdede5765ddde83fd630e41cf6dd5398b6
10,20,10,30,bae40d308fe7daa3b6699c27344a5ea160e2b72d77bf43cc7a731eafcdba
10,30,30,20,24cd18dc46fdfa31ab0468f88dd7e7fb95c1f70e2f60bd7a6642c8630bad
10,20,20,40,d62b0b000dbdcd0ccf4184b9fe2143f1c09a15088e6849ab4bec1ba92353
10,20,20,40,333aa3e533f80f46feec2bd9d8ddd32bc010558d2310d67a65fdc6be82b9
10,30,30,10,5c2109b12ee8af54dc71daf22973b7765aee791d0024d5896528c4e9648f
10,10,10,30,9d6e14ec0db828e2232a7b7e81126d4434c92a93de3fbd3818d633a04dd9
10,30,30,10,ff5c5a9766895a01ae8ce240b628f040dd01d5a4b80df707a14bc5c04e12
10,20,40,40,6f397952f184d63ca7385625ab4f6be2f46e7cdbd1f9315a0ee01bac3454
10,30,30,10,eca07349478aafd4f6e35446dd1fb63d7515b600470a4b02d1e1526c8fa6
10,20,20,30,8e6545da4c3481c2f519c25722a177a1c7abe0908a7e1a27c352a6c42648
10,10,20,30,715ead6c26b8dc655c4cf3e75848df0f8b87bca4e37c9565e7c725565e47
10,10,20,30,956d971b10bccc9119f456b771ca1ffa3ae32331aafad0aa8e5679d26e82
10,10,10,30,4e4aa3f93b98a27ddb4b12be053937af0de4d0bf20a997446823c90fa3d2
10,30,30,10,57d633329fb5374835077ab4ce36c3257abee0f48edc227fea113dc35604
10,10,10,30,901a94c92b73d012b257dd3bf892d7ba1769a702d88153efe14194783557
10,10,20,30,9e60e99ac051d64fa4fc9652385362f4f453c18423c72b01fa3ed1278136
10,30,30,10,dd1e6c5d9fc0f40816fd5ed0384423f0cd63fd22dab1a5e6bff379c789a1
10,10,10,30,3fcf164883b0cf91c5d3d0f4d249910b8e312ee35c50a35636e099eff04a
10,30,30,20,e995916ab405176ac5cb7cb769e7a3ce8613de48ea814625b8e7144c5542
10,30,30,20,d957f829fdc9aac44a6c1143eacdd5567d44fb9c4919b568949df88c9ea6
10,30,30,10,08a25f0eef0bf57e2d47a7fa999d742d835dbcc565e9ff527b96aaed376c
10,30,30,10,663a81f796406182bf42a612cde38d8b45212391c73e82521e5497f5615b
10,30,30,10,c3c36441f2aeb4b5e5e624279deaa26e01434bf90a8cd3f2b323bbc7db83
10,30,30,20,f74715968ba5135783489ffb283c84fd5a43b7fc61a3fd5694856748b8b3
10,30,30,20,bf9c513a05c96e8c6ccc83e5a92be5699d4338d8d27800d84b9639b94a52
10,30,30,10,b72aa11260c0137bb9a1e61a77a014c5fac3d87838f6cb285e55ce04e97a
10,20,20,30,2e8e9c96191eea14385beb8736e9f8370f3ff08307f25084e06f2cb9d2c7
10,30,30,10,16c4a32dbe4a605bb738c242af9e3f5538e36c2479cb3fc70acea1e092d4
10,20,40,40,09286379263c4e8620ec8a0e0d9ef62389281fccf862573594a0f498e862
10,20,30,40,d3aac80b3337a8ba2957a5bfa98f8c81bafb1561e67af923db5bff2c31e2
10,30,30,20,fab363e8e17e4a5ca07f87711daa01c970e15e738728a5de36c96ee8d7b6
10,20,20,30,87b224d802905b98a99e7b4124ed4f0309e171e96644802f1d397645c0ac
10,30,30,10,8da87c984b73917d02e8d6eee085152e8d9aa12e3432d496d22b27190cee
10,20,20,10,5f0bd252e8cef8cb2923b8168cc3d5c3d8ec541af25bec72f29dc79fff4e
10,30,30,10,0c02ef23b7ebf5b79f3869f6b80312bad3d2c5327d94c5af768a705569bc
10,30,30,20,61cca8a8a46987da941f91a8310c023e14b2104fdd265e6c0ae0fc124f1b
10,30,30,20,4706a485fb4c6c047aff784afbff657586b370f5fa8cec38bdf10ef41ee7
10,30,30,20,b8ccd136b3d2f615cbdb2f38564f6e4d87bd20017d2777f89b1e53a60b28
10,30,30,20,a903c13bd59087d4164e4716cb9c746e2f6658a3b8ebfb40307d30e6a13a
