,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
0,8fa54171acbc9f16704c03f137ac053ede9a97432cfc94e7d1d6893d9b5a,5248e29b2b7f2b5f8b974608,2134401,2134599,,,,,,,,
3,8a3db37b3795c7c753963d0ef966df9703d39b9f918e1a0376934e6e80cc,5248e29b2b7f2b5f8b974608,2119980,2134354,,,,,,,,
33,970333a1e751cda79c7a7e43a27f3bb1305f0fc0c1399f46d5d633bd83e7,5248e29b2b7f2b5f8b974608,2134131,2135035,,,,,,,,
34,0ef97162d12ef3f25450c0d4badd16307c02b5e0141e3dbd765dd3a621ab,5248e29b2b7f2b5f8b974608,2134512,2136156,,,,,,,,
69,4b10cb4f5c9a9be76068dfab95038e71940640da20d50d6c9a49336245e4,5248e29b2b7f2b5f8b974608,2102007,2138588,,,,,,,,
84,e529b9faf80f8426d1fd6b5dcf20d3621f9976c9bc664e3d0b16c0c2d0d4,5248e29b2b7f2b5f8b974608,2134391,2142576,,,,,,,,
210,a35588bb10a478ff325e3f482a3b1294f85860fa03f0cf01da11de610497,5248e29b2b7f2b5f8b974608,2143419,2145336,,,,,,,,
303,a6bd11375931325f1f354d5dd6513018d8b662fb6a0cfc9d19254f9eb0df,5248e29b2b7f2b5f8b974608,2142939,2165760,,,,,,,,
373,a024d085181268f029eafced5fe03eb1ef8352cfa85243d43536ac905f9f,5248e29b2b7f2b5f8b974608,2138100,2138267,,,,,,,,
424,f6d1bd75da6a459aa804adbbbaba5f094294071194ffec351f09b432845d,5248e29b2b7f2b5f8b974608,2138461,2138535,,,,,,,,
466,77f9f1eba1a5b3eeabf3fcb464c78e54fb4fc94936c464537729f885f731,5248e29b2b7f2b5f8b974608,2146849,2149150,,,,,,,,
467,00350225e807c118bfbf23e08753cee7376d8e3c73f493db0ad3dedcd22f,5248e29b2b7f2b5f8b974608,2149559,2163220,,,,,,,,
515,3a36f60642cbed809b0818596c7b04176a570e2489fe595316868a672311,5248e29b2b7f2b5f8b974608,2127768,2133671,,,,,,,,
577,d755bbbb46d0c7793ad3b7a8821f42fb9d4a3437d58c4991a536067e07c9,5248e29b2b7f2b5f8b974608,2126556,2138006,,,,,,,,
578,d6eaa2c0a489863f97800e4fb4ecea90f1b024c84397515ecd8711873c37,5248e29b2b7f2b5f8b974608,2127498,2148400,,,,,,,,
579,169e4426a3e48205a30cff6d02793cb09f49fbe384bbed7cb8c1f7e9bbda,5248e29b2b7f2b5f8b974608,2134702,2156973,,,,,,,,
759,dcdac4745faff546cf8fd2f5f22b5b14466678daf1eb6f2134822914d3f4,5248e29b2b7f2b5f8b974608,2136647,2206550,,,,,,,,
760,f4b0accf1ad3c8cab5fd5e7db9cce159a6e62c4e806bf992e0cffc5179f8,5248e29b2b7f2b5f8b974608,2138672,2143137,,,,,,,,
761,43024a5997a25dbafe4f507f1151565302409a174c3d55f075da365eb34b,5248e29b2b7f2b5f8b974608,2157231,2160655,,,,,,,,
1179,cc0be5c2745a4789a871924269e751a1e65a9f4785e4b8861d0cfc0a961d,5248e29b2b7f2b5f8b974608,2123370,2224632,,,,,,,,
3330,f8bd7e8763c5cf3519c29bce9c3233b3b70dd8e2bb7799035bff86d67405,ab8844aaf1ceb8329f8b4529,2134401,2134623,,,,,,,,
3358,32d2720c5ed0b0b6f0318b4975eb36a929b9c2475c1dce4276a87c741c91,ab8844aaf1ceb8329f8b4529,2134131,2135029,,,,,,,,
3401,6932fbe05311f462f5ce77f885d179fe99a73f74a529d07788c6fe6d86e2,ab8844aaf1ceb8329f8b4529,2134301,2148102,,,,,,,,
3598,5b3273433d2e17f827863e730ac4467d845890dc944d86974c13344a1efd,ab8844aaf1ceb8329f8b4529,2142938,2165762,,,,,,,,
3627,101ba0c56079ef32a3f5f7abe9ba2ad4124fc75a182446df713cc676a817,ab8844aaf1ceb8329f8b4529,2134193,2324058,,,,,,,,
3662,03df6857dd204e44bff793f7717b5931fac41094aaa5c5f776ce229e6cc5,ab8844aaf1ceb8329f8b4529,2136918,2180838,,,,,,,,
3689,1db42e0704fc8ad778036013ba416b29377e6f5c11599474e92390bfd58b,ab8844aaf1ceb8329f8b4529,2128078,2154812,,,,,,,,
3741,012850248baca3741513ac3444b2a664d6fb4d8ace73763f07bea25add31,ab8844aaf1ceb8329f8b4529,2136155,2136185,,,,,,,,
3767,6b7570cf7de5f6c6cab58689f0df0bda3504450e87ef1db9c86e1cb1d029,ab8844aaf1ceb8329f8b4529,2134962,2135241,,,,,,,,
3771,67ae20dc1d1ec30d202c0e6fa26944ec7facca4dd65a0197bd15f1e381fb,ab8844aaf1ceb8329f8b4529,2149558,2163225,,,,,,,,
